調教師,race_pace,件数,勝率,複勝率
佐々木晶,やや速い,339,0.05847953216374269,0.21637426900584794
稲垣幸雄,やや速い,106,0.0990990990990991,0.21621621621621623
本田優,やや速い,459,0.08350730688935282,0.2150313152400835
栗田博憲,やや速い,111,0.05785123966942149,0.21487603305785125
辻野泰之,やや速い,95,0.07142857142857142,0.21428571428571427
森秀行,やや速い,444,0.07407407407407407,0.2139917695473251
高柳瑞樹,やや速い,242,0.07058823529411765,0.21176470588235294
奥村武,やや速い,306,0.0673076923076923,0.21153846153846154
相沢郁,やや速い,331,0.07894736842105263,0.21052631578947367
福島信晴,やや速い,90,0.1,0.21
橋口慎介,やや速い,350,0.059490084985835696,0.2096317280453258
宮田敬介,やや速い,102,0.10476190476190476,0.20952380952380953
奥村豊,やや速い,308,0.06875,0.209375
池上昌和,やや速い,272,0.056338028169014086,0.20774647887323944
牧浦充徳,やや速い,347,0.0718232044198895,0.20718232044198895
尾関知人,やや速い,302,0.0732484076433121,0.2070063694267516
西浦勝一,やや速い,223,0.07172995780590717,0.20675105485232068
鈴木伸尋,やや速い,316,0.0688622754491018,0.20658682634730538
平田修,やや速い,314,0.06832298136645963,0.20496894409937888
安達昭夫,やや速い,276,0.07291666666666667,0.2048611111111111
畠山吉宏,やや速い,289,0.07046979865771812,0.20469798657718122
石坂公一,やや速い,176,0.06818181818181818,0.20454545454545456
川村禎彦,やや速い,345,0.05994550408719346,0.20435967302452315
山内研二,やや速い,223,0.05,0.20416666666666666
宮徹,やや速い,318,0.060790273556231005,0.20364741641337386
庄野靖志,やや速い,297,0.04666666666666667,0.20333333333333334
武井亮,やや速い,268,0.07380073800738007,0.2029520295202952
高橋祥泰,やや速い,173,0.06557377049180328,0.20218579234972678
飯田雄三,やや速い,247,0.05019305019305019,0.20077220077220076
萱野浩二,やや速い,260,0.03409090909090909,0.20075757575757575
石橋守,やや速い,335,0.07344632768361582,0.20056497175141244
梅田智之,やや速い,392,0.04938271604938271,0.2
浜田多実,やや速い,296,0.059800664451827246,0.19933554817275748
今野貞一,やや速い,310,0.08517350157728706,0.19873817034700317
牧光二,やや速い,358,0.05234159779614325,0.19834710743801653
久保田貴,やや速い,332,0.0728862973760933,0.19825072886297376
坂口正則,やや速い,93,0.08333333333333333,0.19791666666666666
大竹正博,やや速い,280,0.08620689655172414,0.19655172413793104
飯田祐史,やや速い,263,0.08178438661710037,0.19330855018587362
和田勇介,やや速い,196,0.06930693069306931,0.19306930693069307
千田輝彦,やや速い,315,0.0572289156626506,0.1927710843373494
岩元市三,やや速い,82,0.03571428571428571,0.19047619047619047
宮本博,やや速い,259,0.055970149253731345,0.19029850746268656
小林真也,やや速い,95,0.06,0.19
高橋康之,やや速い,254,0.050387596899224806,0.18992248062015504
大橋勇樹,やや速い,406,0.052995391705069124,0.1889400921658986
藤原辰雄,やや速い,197,0.03940886699507389,0.18719211822660098
中川公成,やや速い,264,0.07194244604316546,0.18705035971223022
土田稔,やや速い,176,0.05649717514124294,0.1864406779661017
林徹,やや速い,190,0.09547738693467336,0.18592964824120603
浅見秀一,やや速い,321,0.061764705882352944,0.18529411764705883
松元茂樹,やや速い,97,0.04854368932038835,0.18446601941747573
中野栄治,やや速い,327,0.05847953216374269,0.18421052631578946
田中剛,やや速い,227,0.034934497816593885,0.18340611353711792
大根田裕,やや速い,242,0.04878048780487805,0.18292682926829268
羽月友彦,やや速い,287,0.05782312925170068,0.18027210884353742
小笠倫弘,やや速い,245,0.046511627906976744,0.17829457364341086
新開幸一,やや速い,246,0.02702702702702703,0.1776061776061776
吉田直弘,やや速い,324,0.05405405405405406,0.17717717717717718
水野貴広,やや速い,285,0.03103448275862069,0.17586206896551723
金成貴史,やや速い,336,0.05263157894736842,0.17543859649122806
石栗龍彦,やや速い,185,0.042328042328042326,0.1746031746031746
目野哲也,やや速い,60,0.047619047619047616,0.1746031746031746
田中清隆,やや速い,142,0.06711409395973154,0.174496644295302
大和田成,やや速い,274,0.0425531914893617,0.17375886524822695
上原博之,やや速い,236,0.045454545454545456,0.17355371900826447
木原一良,やや速い,260,0.07011070110701106,0.17343173431734318
村山明,やや速い,349,0.06005221932114883,0.17232375979112272
大江原哲,やや速い,204,0.07177033492822966,0.1722488038277512
深山雅史,やや速い,147,0.03821656050955414,0.17197452229299362
武藤善則,やや速い,246,0.046511627906976744,0.17054263565891473
中村均,やや速い,97,0.04,0.17
奥平雅士,やや速い,258,0.03007518796992481,0.16917293233082706
湯窪幸雄,やや速い,165,0.06395348837209303,0.1686046511627907
牧田和弥,やや速い,275,0.060498220640569395,0.16725978647686832
矢野英一,やや速い,278,0.04013377926421405,0.16722408026755853
小西一男,やや速い,298,0.03934426229508197,0.16721311475409836
森田直行,やや速い,360,0.05454545454545454,0.16623376623376623
谷潔,やや速い,278,0.04895104895104895,0.16433566433566432
小手川準,やや速い,129,0.03731343283582089,0.16417910447761194
茶木太樹,やや速い,118,0.06557377049180328,0.16393442622950818
竹内正洋,やや速い,225,0.039647577092511016,0.16299559471365638
高橋裕,やや速い,297,0.041791044776119404,0.16119402985074627
藤沢則雄,やや速い,183,0.04145077720207254,0.16062176165803108
尾形充弘,やや速い,59,0.047619047619047616,0.15873015873015872
西橋豊治,やや速い,128,0.045112781954887216,0.15789473684210525
二ノ宮敬,やや速い,68,0.02857142857142857,0.15714285714285714
黒岩陽一,やや速い,253,0.07224334600760456,0.155893536121673
辻哲英,やや速い,82,0.07142857142857142,0.15476190476190477
中村直也,やや速い,76,0.038461538461538464,0.15384615384615385
小島茂之,やや速い,236,0.06477732793522267,0.14979757085020243
坂口智康,やや速い,140,0.04964539007092199,0.14893617021276595
杉浦宏昭,やや速い,310,0.03785488958990536,0.14826498422712933
蛯名正義,やや速い,54,0.07407407407407407,0.14814814814814814
田島俊明,やや速い,234,0.04201680672268908,0.14705882352941177
小桧山悟,やや速い,269,0.03942652329749104,0.14695340501792115
武市康男,やや速い,282,0.05102040816326531,0.14625850340136054
田所秀孝,やや速い,196,0.043689320388349516,0.14563106796116504
尾形和幸,やや速い,210,0.04090909090909091,0.14545454545454545
清水英克,やや速い,206,0.05581395348837209,0.14418604651162792
堀井雅広,やや速い,243,0.03861003861003861,0.14285714285714285
高橋義博,やや速い,49,0.02040816326530612,0.14285714285714285
勢司和浩,やや速い,168,0.04142011834319527,0.14201183431952663
小崎憲,やや速い,322,0.041791044776119404,0.14029850746268657
西田雄一,やや速い,49,0.0196078431372549,0.13725490196078433
伊藤大士,やや速い,266,0.05054151624548736,0.1371841155234657
戸田博文,やや速い,366,0.04632152588555858,0.1362397820163488
小野次郎,やや速い,222,0.0611353711790393,0.13537117903930132
鈴木慎太,やや速い,100,0.05660377358490566,0.1320754716981132
伊藤伸一,やや速い,165,0.059880239520958084,0.1317365269461078
伊坂重信,やや速い,109,0.02631578947368421,0.13157894736842105
高市圭二,やや速い,171,0.03954802259887006,0.12994350282485875
柴田政人,やや速い,52,0.0,0.12962962962962962
