調教師,race_pace,件数,勝率,複勝率
本間忍,スロー上がり,52,0.057692307692307696,0.15384615384615385
森秀行,スロー上がり,179,0.043478260869565216,0.15217391304347827
作田誠二,スロー上がり,32,0.0,0.15151515151515152
尾形和幸,スロー上がり,104,0.04716981132075472,0.1509433962264151
村山明,スロー上がり,124,0.031496062992125984,0.14960629921259844
勢司和浩,スロー上がり,133,0.06716417910447761,0.14925373134328357
青木孝文,スロー上がり,127,0.014925373134328358,0.14925373134328357
和田雄二,スロー上がり,139,0.0425531914893617,0.14893617021276595
小笠倫弘,スロー上がり,79,0.024691358024691357,0.14814814814814814
畠山吉宏,スロー上がり,156,0.036585365853658534,0.14634146341463414
小崎憲,スロー上がり,88,0.0,0.14606741573033707
谷原義明,スロー上がり,42,0.023809523809523808,0.14285714285714285
茶木太樹,スロー上がり,40,0.023809523809523808,0.14285714285714285
沖芳夫,スロー上がり,35,0.0,0.14285714285714285
西田雄一,スロー上がり,35,0.0,0.14285714285714285
和田勇介,スロー上がり,95,0.06,0.14
牧田和弥,スロー上がり,141,0.027777777777777776,0.1388888888888889
中村均,スロー上がり,56,0.05172413793103448,0.13793103448275862
小桧山悟,スロー上がり,153,0.030864197530864196,0.13580246913580246
根本康広,スロー上がり,110,0.035398230088495575,0.13274336283185842
田島俊明,スロー上がり,46,0.06521739130434782,0.13043478260869565
大根田裕,スロー上がり,55,0.03636363636363636,0.12727272727272726
川村禎彦,スロー上がり,100,0.019417475728155338,0.1262135922330097
牧浦充徳,スロー上がり,56,0.07142857142857142,0.125
藤沢則雄,スロー上がり,48,0.04081632653061224,0.12244897959183673
清水英克,スロー上がり,88,0.03333333333333333,0.12222222222222222
杉浦宏昭,スロー上がり,105,0.028037383177570093,0.12149532710280374
服部利之,スロー上がり,81,0.07142857142857142,0.11904761904761904
高橋義博,スロー上がり,50,0.057692307692307696,0.11538461538461539
的場均,スロー上がり,55,0.03636363636363636,0.10909090909090909
伊藤伸一,スロー上がり,71,0.012987012987012988,0.1038961038961039
田中清隆,スロー上がり,104,0.018691588785046728,0.102803738317757
堀井雅広,スロー上がり,125,0.015267175572519083,0.09923664122137404
加藤士津,スロー上がり,60,0.0,0.0967741935483871
蛯名利弘,スロー上がり,60,0.016129032258064516,0.0967741935483871
伊藤正徳,スロー上がり,32,0.0,0.09375
飯田祐史,スロー上がり,43,0.046511627906976744,0.09302325581395349
粕谷昌央,スロー上がり,65,0.015151515151515152,0.09090909090909091
山内研二,スロー上がり,78,0.025,0.0875
石栗龍彦,スロー上がり,57,0.034482758620689655,0.08620689655172414
柴田政人,スロー上がり,54,0.03389830508474576,0.0847457627118644
南田美知,スロー上がり,111,0.008771929824561403,0.07894736842105263
田所秀孝,スロー上がり,82,0.011904761904761904,0.07142857142857142
深山雅史,スロー上がり,42,0.0,0.06521739130434782
堀内岳志,スロー上がり,31,0.03125,0.0625
伊坂重信,スロー上がり,31,0.0,0.06060606060606061
松永康利,スロー上がり,65,0.0,0.05970149253731343
大江原哲,スロー上がり,83,0.023529411764705882,0.058823529411764705
加藤和宏,スロー上がり,89,0.0,0.043478260869565216
佐藤吉勝,スロー上がり,70,0.014285714285714285,0.04285714285714286
天間昭一,スロー上がり,91,0.010638297872340425,0.0425531914893617
西橋豊治,スロー上がり,74,0.0,0.039473684210526314
萱野浩二,スロー上がり,62,0.0,0.031746031746031744
高市圭二,スロー上がり,70,0.0,0.02666666666666667
石毛善彦,スロー上がり,66,0.0,0.014705882352941176
