騎手,場所,芝・ダ,距離,ペース型,騎乗数,勝利数,複勝数,平均着順,平均4角率,勝率,複勝率
野中悠太,中山,ダ,1200,ハイ/持続,186,6,23,9.408602150537634,0.5591083199954168,3.225806451612903,12.365591397849462
永野猛蔵,中山,ダ,1200,ハイ/持続,91,7,11,9.065934065934066,0.5111379463027815,7.6923076923076925,12.087912087912088
西村淳也,中山,ダ,1200,ハイ/持続,25,0,3,7.96,0.47200000000000003,0.0,12.0
小林凌大,中山,ダ,1200,ハイ/持続,59,3,7,9.711864406779661,0.4921804184516049,5.084745762711865,11.864406779661017
山田敬士,中山,ダ,1200,ハイ/持続,43,1,5,9.511627906976743,0.5581075900843342,2.3255813953488373,11.627906976744185
嶋田純次,中山,ダ,1200,ハイ/持続,53,1,6,9.754716981132075,0.5288029580482411,1.8867924528301887,11.320754716981133
藤田菜七,中山,ダ,1200,ハイ/持続,102,5,11,10.058823529411764,0.5275560224089636,4.901960784313726,10.784313725490197
斎藤新,中山,ダ,1200,ハイ/持続,28,2,3,8.571428571428571,0.4941326530612245,7.142857142857142,10.714285714285714
柴田大知,中山,ダ,1200,ハイ/持続,138,3,14,9.630434782608695,0.581208465447596,2.1739130434782608,10.144927536231885
黛弘人,中山,ダ,1200,ハイ/持続,52,1,5,9.346153846153847,0.5632000211327134,1.9230769230769231,9.615384615384617
石田拓郎,中山,ダ,1200,ハイ/持続,22,1,2,9.545454545454545,0.6040209790209791,4.545454545454546,9.090909090909092
杉原誠人,中山,ダ,1200,ハイ/持続,91,4,8,9.340659340659341,0.4501162299239222,4.395604395604396,8.791208791208792
和田竜二,中山,ダ,1200,ハイ/持続,23,1,2,9.652173913043478,0.5159420289855072,4.3478260869565215,8.695652173913043
松岡正海,中山,ダ,1200,ハイ/持続,162,3,14,9.351851851851851,0.5438022882467327,1.8518518518518516,8.641975308641975
嘉藤貴行,中山,ダ,1200,ハイ/持続,37,0,3,9.756756756756756,0.5191441441441441,0.0,8.108108108108109
武士沢友,中山,ダ,1200,ハイ/持続,99,2,8,10.030303030303031,0.6818112443112443,2.0202020202020203,8.080808080808081
井上敏樹,中山,ダ,1200,ハイ/持続,26,1,2,10.846153846153847,0.5819156804733727,3.8461538461538463,7.6923076923076925
木幡初也,中山,ダ,1200,ハイ/持続,52,1,4,10.115384615384615,0.4984529092702169,1.9230769230769231,7.6923076923076925
木幡育也,中山,ダ,1200,ハイ/持続,64,0,4,10.421875,0.5265381753663003,0.0,6.25
岩部純二,中山,ダ,1200,ハイ/持続,36,0,2,9.722222222222221,0.6632427757427757,0.0,5.555555555555555
柴山雄一,中山,ダ,1200,ハイ/持続,55,1,3,9.163636363636364,0.5345571095571096,1.8181818181818181,5.454545454545454
原田和真,中山,ダ,1200,ハイ/持続,27,0,0,11.37037037037037,0.46479107312440643,0.0,0.0
的場勇人,中山,ダ,1200,ハイ/持続,30,0,0,14.0,0.8145833333333333,0.0,0.0
ルメール,中山,ダ,1800,やや速い,70,22,37,4.685714285714286,0.33129602540316827,31.428571428571427,52.85714285714286
戸崎圭太,中山,ダ,1800,やや速い,127,23,54,6.0,0.40843546217561966,18.11023622047244,42.51968503937008
横山典弘,中山,ダ,1800,やや速い,43,6,18,5.837209302325581,0.4394486327625862,13.953488372093023,41.86046511627907
横山武史,中山,ダ,1800,やや速い,107,21,42,6.224299065420561,0.39043234802580595,19.626168224299064,39.25233644859813
田辺裕信,中山,ダ,1800,やや速い,131,11,43,6.290076335877862,0.46742359633581004,8.396946564885496,32.82442748091603
Ｍ．デム,中山,ダ,1800,やや速い,48,4,15,8.020833333333334,0.5012621348558849,8.333333333333332,31.25
荻野極,中山,ダ,1800,やや速い,24,1,7,6.708333333333333,0.41757600038850035,4.166666666666666,29.166666666666668
石橋脩,中山,ダ,1800,やや速い,112,10,31,7.089285714285714,0.43368625422196855,8.928571428571429,27.67857142857143
丸山元気,中山,ダ,1800,やや速い,68,2,18,7.720588235294118,0.49167025784672846,2.941176470588235,26.47058823529412
岩田康誠,中山,ダ,1800,やや速い,23,2,6,7.739130434782608,0.46260599304077565,8.695652173913043,26.08695652173913
津村明秀,中山,ダ,1800,やや速い,125,10,32,7.112,0.4112435897435897,8.0,25.6
三浦皇成,中山,ダ,1800,やや速い,120,10,30,6.85,0.4376990486365486,8.333333333333332,25.0
横山和生,中山,ダ,1800,やや速い,93,11,22,7.333333333333333,0.5031540442830765,11.827956989247312,23.655913978494624
大野拓弥,中山,ダ,1800,やや速い,145,17,34,7.475862068965517,0.48394573816987607,11.724137931034482,23.448275862068964
菅原明良,中山,ダ,1800,やや速い,108,6,25,7.444444444444445,0.5311772718022718,5.555555555555555,23.14814814814815
ミナリク,中山,ダ,1800,やや速い,23,2,5,7.478260869565218,0.4726583199409286,8.695652173913043,21.73913043478261
原優介,中山,ダ,1800,やや速い,54,2,11,8.351851851851851,0.6228805916305916,3.7037037037037033,20.37037037037037
吉田隼人,中山,ダ,1800,やや速い,25,0,5,7.6,0.5273003663003663,0.0,20.0
武藤雅,中山,ダ,1800,やや速い,60,4,12,8.433333333333334,0.512852355977356,6.666666666666667,20.0
勝浦正樹,中山,ダ,1800,やや速い,46,2,9,7.3478260869565215,0.5041032638858726,4.3478260869565215,19.565217391304348
佐々木大,中山,ダ,1800,やや速い,41,1,8,7.7560975609756095,0.4904551749063944,2.4390243902439024,19.51219512195122
山田敬士,中山,ダ,1800,やや速い,22,0,4,8.227272727272727,0.5263880059334605,0.0,18.181818181818183
