場所,芝・ダ,距離,馬場状態,レース数,勝ち時計平均秒,勝ち上り3F平均,RPCI平均,平均1Fタイム,平均速度,Ave_3F平均,勝ち馬4角率平均,勝ち馬PCI平均,三着内上り3F平均,三着内4角率平均,三着内先行率_4角35以内,三着内差し追込率_4角60超,標準ペース判定,好走ゾーン,勝ち時計平均
中山,芝,1200,良,193,68.28134715025907,34.19378238341969,47.19481865284974,11.380103626943006,63.27538860103627,34.08756476683938,0.30644271531577233,49.72849740932643,34.28,0.3365096541389645,60.689655172413794,15.0,やや速い,前残り・先行優勢,1:08.3
中山,芝,1200,重,12,69.59166666666667,35.083333333333336,45.574999999999996,11.6,62.089166666666664,34.50833333333333,0.38543574481074483,48.416666666666664,35.24722222222223,0.3317969067969068,72.22222222222221,22.22222222222222,ハイ/持続,前残り・先行優勢,1:09.6
中山,芝,1600,不,3,96.76666666666667,36.46666666666667,46.63333333333333,12.096666666666666,59.52666666666667,36.18,0.4930555555555555,49.199999999999996,36.74444444444444,0.4393518518518518,33.33333333333333,11.11111111111111,やや速い,中間/混合,1:36.8
中山,芝,1600,稍,43,94.76511627906977,35.093023255813954,49.27906976744186,11.846744186046513,60.78906976744186,35.803255813953484,0.33956447299470555,52.09069767441861,35.25968992248062,0.35424933593538244,56.58914728682171,17.829457364341085,やや速い,前残り・先行優勢,1:34.8
中山,芝,1600,良,289,93.97128027681661,34.60311418685121,50.4477508650519,11.747508650519032,61.304948096885816,35.620899653979244,0.3297925450174585,52.989965397923875,34.716359447004606,0.35591971872213807,56.68202764976959,16.82027649769585,標準〜やや上がり,前残り・先行優勢,1:34.0
中山,芝,1600,重,14,95.55,35.94285714285714,47.26428571428572,11.944999999999999,60.28857142857142,35.76428571428571,0.2796114599686028,49.57857142857143,36.22142857142857,0.33316435548578405,57.14285714285714,16.666666666666664,やや速い,前残り・先行優勢,1:35.5
中山,芝,1800,不,6,112.91666666666667,37.36666666666667,47.86666666666667,12.546666666666667,57.39666666666667,37.775,0.5763888888888888,51.166666666666664,37.794444444444444,0.389976150392817,50.0,16.666666666666664,やや速い,中間/混合,1:52.9
中山,芝,1800,稍,27,109.11111111111111,35.43703703703704,52.596296296296295,12.122962962962962,59.39518518518519,36.837037037037035,0.24194205999761553,54.03703703703704,35.382716049382715,0.3318533147236851,58.0246913580247,13.580246913580247,標準〜やや上がり,前残り・先行優勢,1:49.1
中山,芝,1800,良,156,108.1128205128205,34.70384615384616,53.61474358974359,12.012564102564102,59.94358974358975,36.704487179487174,0.3152071219378912,55.81794871794872,34.7908315565032,0.3402046188826573,58.42217484008528,11.940298507462686,標準〜やや上がり,前残り・先行優勢,1:48.1
中山,芝,1800,重,16,110.45,36.25625,50.16875,12.27125,58.68,37.096875,0.3018635010822511,52.43125,36.275,0.32129667207792206,64.58333333333334,14.583333333333334,標準〜やや上がり,前残り・先行優勢,1:50.5
中山,芝,2000,不,4,127.275,37.9,48.575,12.7275,56.5775,38.305,0.3005050505050505,51.125,38.333333333333336,0.30892255892255893,50.0,8.333333333333332,やや速い,中間/混合,2:07.3
中山,芝,2000,稍,35,121.66857142857141,35.457142857142856,52.08,12.166857142857143,59.18542857142857,36.94685714285715,0.31157536441149886,54.254285714285714,35.60190476190476,0.349146242801705,59.04761904761905,14.285714285714285,標準〜やや上がり,前残り・先行優勢,2:01.7
中山,芝,2000,良,187,120.5994652406417,34.989839572192516,52.91657754010695,12.059946524064172,59.711176470588235,36.69,0.3262518915672423,54.903743315508024,35.09341637010676,0.36517238590846507,53.91459074733096,15.658362989323843,標準〜やや上がり,中間/混合,2:00.6
中山,芝,2000,重,14,122.39285714285714,36.09285714285714,49.6,12.239285714285714,58.833571428571425,36.98571428571428,0.4696057210763093,52.521428571428565,36.37619047619047,0.4225152434711258,42.857142857142854,26.190476190476193,やや速い,中間/混合,2:02.4
中山,芝,2200,不,2,137.25,37.5,48.45,12.48,57.705,37.41,0.2426470588235294,49.75,37.35,0.3390522875816993,66.66666666666666,0.0,やや速い,前残り・先行優勢,2:17.2
中山,芝,2200,稍,13,135.0076923076923,35.45384615384615,53.83076923076923,12.273076923076925,58.67076923076923,37.33384615384615,0.33247094785556325,55.33846153846154,35.56923076923077,0.3570859340090109,64.1025641025641,20.51282051282051,標準〜やや上がり,前残り・先行優勢,2:15.0
中山,芝,2200,良,86,133.7058139534884,34.88837209302326,54.193023255813955,12.155116279069766,59.24511627906977,37.05732558139535,0.30964026758315405,56.27325581395349,34.97876447876448,0.34319759403793015,57.91505791505791,11.583011583011583,スロー上がり,前残り・先行優勢,2:13.7
中山,芝,2200,重,5,136.44,36.160000000000004,51.6,12.404,58.074,37.606,0.43560606060606055,53.98,36.36,0.42319023569023567,33.33333333333333,20.0,標準〜やや上がり,中間/混合,2:16.4
中山,芝,2500,不,1,156.8,36.8,53.0,12.54,57.4,37.89,0.08333333333333333,53.0,37.266666666666666,0.2222222222222222,66.66666666666666,0.0,標準〜やや上がり,前残り・先行優勢,2:36.8
中山,芝,2500,稍,19,154.76315789473685,35.91578947368421,52.92631578947368,12.381578947368421,58.15842105263158,37.53105263157895,0.2619849448796817,54.578947368421055,35.9859649122807,0.3201942794048057,54.385964912280706,10.526315789473683,標準〜やや上がり,中間/混合,2:34.8
中山,芝,2500,良,79,153.87125,35.1,54.86125,12.30975,58.498875,37.50675,0.3361060467310467,56.90625,35.24852320675105,0.3588318737052914,54.85232067510548,15.611814345991561,スロー上がり,中間/混合,2:33.9
中山,芝,2500,重,3,155.23333333333332,36.06666666666666,51.199999999999996,12.42,57.98,37.63333333333333,0.38095238095238093,54.5,35.98888888888889,0.3333333333333333,66.66666666666666,22.22222222222222,標準〜やや上がり,前残り・先行優勢,2:35.2
中山,芝,3210,不,1,225.7,14.1,,14.06,51.2,,0.21428571428571427,,14.133333333333333,0.19047619047619047,100.0,0.0,不明,前残り・先行優勢,3:45.7
中山,芝,3210,稍,5,219.56,13.680000000000001,,13.680000000000001,52.636,,0.24876123876123873,,13.706666666666667,0.20756576756576758,86.66666666666667,0.0,不明,前残り・先行優勢,3:39.6
中山,芝,3210,良,2,215.95,13.45,,13.455,53.515,,0.10714285714285714,,13.483333333333334,0.16666666666666666,83.33333333333334,0.0,不明,前残り・先行優勢,3:35.9
中山,芝,3350,稍,2,224.45,13.4,,13.4,53.730000000000004,,0.13636363636363635,,13.416666666666666,0.25757575757575757,66.66666666666666,16.666666666666664,不明,前残り・先行優勢,3:44.4
